id,name,neighbourhood_group_cleansed,neighbourhood_cleansed,room_type,price_num,availability_365,reviews_per_month,number_of_reviews,ghost_prob
702012279693056500,"The Tuscany Powered by LuxUrban Tri, 1 King,1 Twin",Manhattan,Murray Hill,Private room,900,365,0.03,1,0.5886058950203015
1004986421761369900,"4 Family-friendly Units at Radio Hotel, NYC!",Manhattan,Washington Heights,Hotel room,965,238,0.06,1,0.5768331018099149
830964462652326300,"Blueground | West Village, w/d, nr Pier 46",Manhattan,West Village,Entire home/apt,913,358,0.04,1,0.5676695311585223
1006408371449823500,"Blueground | East Village, w/d, nr groceries",Manhattan,East Village,Entire home/apt,348,262,0.05,1,0.5513854139091842
1341539816207467800,Stylish Studio Pair in Bay Ridge,Brooklyn,Fort Hamilton,Entire home/apt,341,64,0.17,1,0.5429757271302987
856256646708066800,"Blueground | East Village, w/d, nr park",Manhattan,East Village,Entire home/apt,268,276,0.04,1,0.529524522219832
42806766,"Blueground | Sutton Place, gym, pool, nr park",Manhattan,Midtown,Entire home/apt,402,277,0.05,1,0.5282351474378862
654402388376149900,"""The Godfather"" Mansion",Staten Island,Todt Hill,Entire home/apt,1598,358,0.03,1,0.522746891857529
1065778832869908e3,"4 Family-friendly Queen Rooms at Radio Hotel, NY!",Manhattan,Washington Heights,Hotel room,983,238,0.07,1,0.5225780319528409
7.5654053621036006e+17,Modern 2 Bedroom Unit (No Kitchen),Bronx,Concourse,Entire home/apt,200,365,0.04,1,0.5203680907254972
1065769971445201300,3 Pet-friendly Queen Rooms at Radio Hotel!,Manhattan,Washington Heights,Hotel room,738,238,0.06,1,0.5141908886310778
1.1969710452869919e+18,"Blueground | LES, elev & w/d, near Essex Market",Manhattan,Lower East Side,Entire home/apt,372,232,0.07,1,0.5070971671329749
655205438300291600,Prime Location Upper Manhattan Furnished Apartment,Manhattan,East Harlem,Entire home/apt,203,365,0.49,1,0.5046641667967282
1523266531284286700,Bright & Spacious UES 1BD Balcony & Rooftop,Manhattan,East Harlem,Entire home/apt,248,364,1,1,0.5037472603897206
1492775520094147800,Chelsea Apartment with Terrace,Manhattan,Chelsea,Entire home/apt,500,365,0.59,1,0.5011104202385328
30393286,"Blueground | Hell's Kitchen, pool, nr Times Sq",Manhattan,Hell's Kitchen,Entire home/apt,389,283,0.1,1,0.49430563511173187
1365812777839379e3,"Blueground | Clinton Hill, pool, gym & AC, nr park",Brooklyn,Clinton Hill,Entire home/apt,255,274,0.13,1,0.49385592479253143
53204406,Jjj,Brooklyn,Flatbush,Entire home/apt,1800,365,0.03,1,0.4922971241547352
700146181833846400,Hidden speakeasy style venue 500sqft Main Room.,Brooklyn,Bedford-Stuyvesant,Private room,601,365,0.04,1,0.49177615636900196
572326237669669e3,"Blueground | Midtown, elevator & doorman, nr shops",Manhattan,Midtown,Entire home/apt,388,205,0.04,1,0.485198482736147
1009556551598403300,Cedar Paradise Vacation Home,Bronx,University Heights,Entire home/apt,120,364,1,1,0.48519356081538867
625794540207537e3,"Blueground | UWS, gym, nr Central Park",Manhattan,Upper West Side,Entire home/apt,322,247,0.03,1,0.4743053896666197
50768601,"Bright Room in Gravesend, terrace, TV#13 (females)",Brooklyn,Gravesend,Private room,60,365,0.07,1,0.4736006244323471
1065762399416234200,"2x Queen Rooms at Radio Hotel, New York!",Manhattan,Washington Heights,Hotel room,492,239,0.07,1,0.47233045334210416
1447141612746247200,"Gramercy 3BR Retreat, Steps to Union Sq & Subway",Manhattan,Gramercy,Entire home/apt,577,365,1,1,0.47204075882452706
49328408,"Blueground | Murray Hill, gym, doorman, pool, roof",Manhattan,Kips Bay,Entire home/apt,305,59,0.19,1,0.4711876369216909
1381874709122175e3,"Bright bedroom, with 2 closets and windows #763",Brooklyn,Flatbush,Private room,45,336,0.14,1,0.47072531076010776
1462943416584238600,Spacious 6 Rms - Families & Groups - 15 min City,Queens,Astoria,Entire home/apt,1582,339,1,1,0.47010867209400015
48011354,Master Room w Private Bathroom-15 min to NYC,Queens,Astoria,Private room,186,251,0.04,1,0.469938444026189
1399443018137829600,Cozy 4Bed2Bath With Washer/Dryer,Brooklyn,Crown Heights,Entire home/apt,173,345,1,1,0.4672445418605922
1205042267607787e3,"Rooftop, AC, Washer/dryer, 14min to Manhattan #746",Brooklyn,Bushwick,Private room,52,302,0.08,1,0.4631433554609334
832116320078489600,Spacious room near train station,Queens,Long Island City,Private room,250,365,0.03,1,0.4625103948429109
746896926309492600,"HUGE Bushwick Apt, HDTV, 21 min to Manhattan #417",Brooklyn,Bedford-Stuyvesant,Private room,47,305,0.07,1,0.46126272441457333
1128128092901401500,Private BathRoom! Close to Target,Queens,Elmhurst,Private room,66,45,0.24,1,0.45964645209245764
52705960,Kings Land!,Brooklyn,Flatbush,Private room,721,365,0.02,1,0.45797777794199546
700088418861059e3,Hidden speakeasy style event venue 1st floor,Brooklyn,Bedford-Stuyvesant,Entire home/apt,1002,365,0.03,1,0.4570006943194698
1112291569465739300,Hamilton by Rove Travel | 4BR TH w/ Outdoor Spaces,Manhattan,Harlem,Entire home/apt,717,365,0.07,1,0.4567959028180659
1026759746975641500,St. Regis 1 King BR Suite,Manhattan,Midtown,Private room,1530,125,0.06,1,0.4566566816627557
1447081733479401200,Boho Studio~UWS~Central Park,Manhattan,Upper West Side,Entire home/apt,211,327,0.48,1,0.455829248222283
553429976605273300,Hudson Yards Prime Location Furnished Rental,Manhattan,Hell's Kitchen,Entire home/apt,250,257,0.02,1,0.4541468193919073
1318091951273982700,"Blueground | Chelsea, gym, garden, rooftop",Manhattan,Chelsea,Entire home/apt,331,322,0.35,1,0.45330875903330375
42761887,400sqft HUGEroom  2min expresstrain & 1min LIRR,Queens,Woodside,Private room,40,32,0.02,1,0.45253824453512087
824505288280530200,"Huge Duplex Apt, HDTV, 21 min to Manhattan #416",Brooklyn,Bedford-Stuyvesant,Private room,42,365,0.07,1,0.45252103712034875
